file,method,line,statements,flow_blocks,classification
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,view,158,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,list,175,4,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,upload,191,20,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,<init>,70,7,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,execute,93,24,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,split,146,9,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,current,161,4,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,state,175,7,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,finish,201,13,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,reconcile,250,34,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,sweepOrphans,346,14,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,require,375,2,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,now,382,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,claim,386,9,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,deleteArtifacts,409,5,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,indexBatch,433,29,3,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/RagFlow.java,<init>,31,3,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/RagFlow.java,retrieve,46,25,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/mail/command/MailCommand.java,toString,19,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,<init>,56,5,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,recent,76,2,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,recentEntities,89,5,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,older,113,8,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,completePairs,143,12,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,summary,173,2,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,facts,194,16,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,compress,244,21,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,extract,349,20,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,now,410,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,persistFacts,414,31,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,recordExtraction,524,5,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,reserveExtraction,554,5,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/PrivacyCleanup.java,<init>,33,4,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/PrivacyCleanup.java,execute,50,29,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/model/command/ModelCommand.java,toString,26,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,<init>,72,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveUserAccount,83,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeUserAccount,94,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveDevice,105,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeDevice,116,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveLoginSession,127,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeLoginSession,138,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveEmailChallenge,149,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeEmailChallenge,161,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveConversation,172,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeConversation,183,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveMessage,194,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeMessage,205,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveChatRun,216,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeChatRun,227,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveMemorySummary,238,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeMemorySummary,249,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveMemoryFact,260,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeMemoryFact,271,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveMemoryFactSource,282,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeMemoryFactSource,294,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveKnowledgeDocument,306,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeKnowledgeDocument,318,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveKnowledgeChunk,330,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeKnowledgeChunk,342,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveIndexJob,353,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeIndexJob,364,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveSyncEvent,375,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeSyncEvent,386,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveOutboxEvent,397,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeOutboxEvent,408,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveModelInvocation,419,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeModelInvocation,431,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,saveRefreshReceipt,442,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,removeRefreshReceipt,454,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,required,458,3,1,flow_checked
