file,package,constructors,mapping_calls,long_constructors,review_category
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/command/VectorCommand.java,com.hellotravel.application.knowledge.command,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/command/VectorItemCommand.java,com.hellotravel.application.knowledge.command,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/policy/KnowledgeIndexPolicy.java,com.hellotravel.application.knowledge.policy,0,0,0,named_policy
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/result/DocumentResult.java,com.hellotravel.application.knowledge.result,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/result/KnowledgeResult.java,com.hellotravel.application.knowledge.result,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/service/KnowledgeApplication.java,com.hellotravel.application.knowledge.service,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,com.hellotravel.application.knowledge.workflow,11,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeIndexer.java,com.hellotravel.application.knowledge.workflow,22,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/RagFlow.java,com.hellotravel.application.knowledge.workflow,3,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/mail/adaptor/MailOutAdaptor.java,com.hellotravel.application.mail.adaptor,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/mail/assembler/MailCommandAssembler.java,com.hellotravel.application.mail.assembler,1,1,0,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/mail/command/MailCommand.java,com.hellotravel.application.mail.command,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/memory/assembler/ContextApplicationAssembler.java,com.hellotravel.application.memory.assembler,1,0,0,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/MemoryFlow.java,com.hellotravel.application.memory.workflow,14,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/memory/workflow/PrivacyCleanup.java,com.hellotravel.application.memory.workflow,3,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/model/adaptor/ModelOutAdaptor.java,com.hellotravel.application.model.adaptor,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/model/assembler/ModelCommandAssembler.java,com.hellotravel.application.model.assembler,7,7,0,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/model/command/ModelCommand.java,com.hellotravel.application.model.command,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/model/command/PromptMessageCommand.java,com.hellotravel.application.model.command,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/model/policy/ModelContextPolicy.java,com.hellotravel.application.model.policy,1,0,0,named_policy
hello-travel-application/src/main/java/com/hellotravel/application/persistence/DomainWrites.java,com.hellotravel.application.persistence,1,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/persistence/TravelRepositories.java,com.hellotravel.application.persistence,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/persistence/assembler/TravelWriteApplicationAssembler.java,com.hellotravel.application.persistence.assembler,34,34,0,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/security/adaptor/SecurityOutAdaptor.java,com.hellotravel.application.security.adaptor,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/security/assembler/SecurityCommandAssembler.java,com.hellotravel.application.security.assembler,9,9,0,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/security/command/SecurityCommand.java,com.hellotravel.application.security.command,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/support/ApplicationFailures.java,com.hellotravel.application.support,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/support/Json.java,com.hellotravel.application.support,3,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/sync/assembler/SyncApplicationAssembler.java,com.hellotravel.application.sync.assembler,2,2,1,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/sync/command/SyncCommand.java,com.hellotravel.application.sync.command,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/sync/result/SyncEventResult.java,com.hellotravel.application.sync.result,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/sync/result/SyncResult.java,com.hellotravel.application.sync.result,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/sync/service/SyncApplication.java,com.hellotravel.application.sync.service,3,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/sync/workflow/SyncEvents.java,com.hellotravel.application.sync.workflow,2,0,0,application_orchestration
